Westphal-BM112 24.19 0.15 23.92 0.10 23.61 0.10 23.43 0.10 23.13 0.10 22.05 0.10 21.55 0.10 23.61 0.10 20.90 0.10 20.87 0.10 9999 9999 9999 9999 9999 9999 1.547
Westphal-BM114 25.04 0.23 24.85 0.15 24.66 0.15 24.64 0.15 24.81 0.22 24.30 0.22 24.27 0.28 24.66 0.15 24.07 0.21 23.97 0.29 9999 9999 9999 9999 9999 9999 1.877
Westphal-BM115 23.71 0.12 23.48 0.10 23.17 0.10 23.10 0.10 22.95 0.10 22.04 0.10 21.75 0.10 23.17 0.10 21.38 0.10 21.33 0.10 9999 9999 9999 9999 9999 9999 1.607
Westphal-BM120 24.55 0.18 24.45 0.12 24.07 0.12 23.98 0.11 23.84 0.14 23.26 0.12 24.07 0.25 24.07 0.12 23.08 0.10 23.58 0.18 9999 9999 9999 9999 9999 9999 1.700
Westphal-BM121 24.23 0.16 24.08 0.11 23.83 0.10 23.70 0.10 23.25 0.10 23.19 0.12 22.66 0.10 23.83 0.10 22.38 0.10 22.64 0.10 9999 9999 9999 9999 9999 9999 1.287
Westphal-BM125 26.61 0.42 26.41 0.27 25.63 0.26 26.25 0.27 26.10 0.35 24.96 0.29 25.53 0.43 25.63 0.26 23.08 0.10 22.87 0.10 9999 9999 9999 9999 9999 9999 1.606
Westphal-BM134 23.12 0.10 23.02 0.10 22.84 0.10 22.79 0.10 22.43 0.10 21.97 0.10 21.83 0.10 22.84 0.10 21.76 0.10 21.79 0.10 9999 9999 9999 9999 9999 9999 1.333
Westphal-BM141 24.01 0.14 23.90 0.10 23.70 0.10 23.65 0.10 23.40 0.11 22.65 0.10 22.59 0.10 23.70 0.10 22.72 0.10 22.71 0.10 9999 9999 9999 9999 9999 9999 1.408
Westphal-BM163 24.66 0.19 24.41 0.12 24.12 0.12 24.03 0.11 23.86 0.14 22.91 0.10 22.97 0.12 24.12 0.12 22.48 0.10 22.40 0.10 9999 9999 9999 9999 9999 9999 1.878
Westphal-BM180 24.34 0.17 24.06 0.11 23.80 0.10 23.67 0.10 23.46 0.12 22.71 0.10 22.60 0.10 23.80 0.10 22.31 0.10 22.34 0.10 9999 9999 9999 9999 9999 9999 1.494
